title,price,rating,reviews,availability
NBA 2K23 - PlayStation 4,$27.00,4.6 out of 5 stars,280 ratings,In Stock
"Wireless Play-station 4 Controller, Game Double Shock 4 Controller Compatible with Play-station 4/P-S4 Slim/ Pro Console, with Touch Panel, Dual Vibration, Audio Function (Green Camo)",$22.99,3.8 out of 5 stars,95 ratings,Only 3 left in stock - order soon.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75,4.7 out of 5 stars,"141,207 ratings",Not Available
The Crew - PlayStation 4,$14.99,4.3 out of 5 stars,740 ratings,Not Available
"ZHCWM PS-4 Wireless Controller Compatible with PS-4/Pro/Slim,with Dual Vibration Game Remote",,4.5 out of 5 stars,247 ratings,In Stock
"HyperX Cloud Stinger Core - Gaming Headset for PlayStation 4 and PlayStation 5, Over-Ear Wired Headset with Mic, Passive Noise Cancelling, Immersive In-Game Audio, In-Line Audio Control, Black",$29.99,4.5 out of 5 stars,"16,366 ratings",Not Available
"BlueFire Stereo Gaming Headset for Playstation 4 PS4 PS5, Over-Ear Headphones with Mic and LED Lights for Xbox One, PC, Laptop (Red)",,4.4 out of 5 stars,"8,272 ratings",In Stock
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$64.00,4.7 out of 5 stars,"141,207 ratings",Not Available
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,620 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"141,207 ratings",Not Available
TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.3 out of 5 stars,431 ratings,Not Available
Sonic Colors Ultimate: Standard Edition - PlayStation 4,$14.99,4.7 out of 5 stars,216 ratings,In Stock
Sackboy: A Big Adventure - PlayStation 4,$19.99,4.8 out of 5 stars,"1,458 ratings",Not Available
Grid Legends - PlayStation 4 Standard Edition,,4.4 out of 5 stars,25 ratings,
"Wiv77 2 Pack Controller Wireless Intended for PS4 Controller/Playstation 4 Controller Console/PC, Bluetooth&Wired Connection/Smooth Touchpad/Two Motors/Headphone Jack(Titanium Blue and Craystal Blue)",,3.8 out of 5 stars,17 ratings,Not Available
"Wireless Controller for PS4 Dualshocked 4 Gaming Pro Controller Compatible with PS4 Pro,Slim with Built-in Speakers/Turbo/Advanced Buttons Programming/Type-C Cable and 800mAh Rechargeable Battery",,4.0 out of 5 stars,176 ratings,Not Available
$100 PlayStation Store Gift Card [Digital Code],$100.00,4.7 out of 5 stars,"244,306 ratings",Available now.
God of War Hits - PlayStation 4,$9.00,4.8 out of 5 stars,"10,274 ratings",In Stock
"2 Pack Wireless Controller Compatible with P-4 Controller, Wiv77 Game Remotes Works with P-4 Controller, Control/Joystick/Gamepad/Mando/Matte with Charging Cable,Gold and Titanium Blue, 2022",,5.0 out of 5 stars,2 ratings,In Stock
【Upgraded】 Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.7 out of 5 stars,40 ratings,
"2 Pack Wireless Controller for PS4,EEIDC Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio/Six-axis Motion Sensor(Blue and Purple)",$43.99,Previous page of related Sponsored Products,,Not Available
"2 Pack Wireless Controller for PS4,EEIDC Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio/Six-axis Motion Sensor(Blue and Purple)",$43.99,Previous page of related Sponsored Products,,Not Available
Turok (Limited Run #423) - PlayStation 4,,3.8 out of 5 stars,6 ratings,Not Available
"FOBGEL Wired Gaming Controller for PS4, Remote Control for Sony Playstation 4 Pro Slim PC, Double Shock Analog Joysticks, Plug and Play, 6.6ft Cable, Slip-Proof Grip, Black/Blue (blue)",,Previous page of related Sponsored Products,,Not Available
